key	name	slot	occupies	theme	src
operaCarmen	カルメン	set	top+bottom	stage	gown.py
operaPapageno	パパゲーノ（魔笛）	set	top+bottom	stage	gown.py
hatCrownNight	夜の女王のかんむり	hat	hat	stage	gown.py
hatCamellia	椿の髪かざり	hat	hat	stage	gown.py
hatRose	薔薇の髪かざり	hat	hat	stage	gown.py
hatFeatherCap	羽根のかぶりもの	hat	hat	stage	gown.py
hatJomonBeads	縄文・骨と貝の髪飾り	hat	hat	era	hats2.py
hatYayoiHachimaki	弥生・布の髪飾り	hat	hat	era	hats2.py
hatKofunBoushi	古墳・埴輪の帽子	hat	hat	era	hats2.py
hatAsukaKanmuri	飛鳥・冠	hat	hat	era	hats2.py
hatNaraZukin	奈良・幞頭	hat	hat	era	hats2.py
hatHeianEboshi	平安・立烏帽子	hat	hat	era	hats2.py
hatIchimegasa	鎌倉・市女笠	hat	hat	era	hats2.py
hatSamuraiEboshi	室町・侍烏帽子	hat	hat	era	hats2.py
hatNanban	安土桃山・南蛮帽子	hat	hat	era	hats2.py
hatSugegasa	江戸・菅笠	hat	hat	era	hats2.py
hatBowler	明治・山高帽	hat	hat	era	hats2.py
hatHunting	大正・鳥打帽	hat	hat	era	hats2.py
hatGakubo	昭和・学帽	hat	hat	era	hats2.py
hatCap	平成・キャップ	hat	hat	era	hats2.py
hatBucket	令和・バケットハット	hat	hat	era	hats2.py
coatSpringCardigan	春 うすもものカーディガン	outer	outer	season	mkfinal.py
coatSummerVest	夏 みずいろのベスト	outer	outer	season	mkfinal.py
coatAutumnCamel	秋 キャメルのコート	outer	outer	season	mkfinal.py
coatWinterDuffle	冬 こんのダッフル	outer	outer	season	mkfinal.py
kimonoRedSakura	和服・赤（桜）	set	top+bottom	wa	mkfinal.py
kimonoYellowYagasuri	和服・黄（矢絣）	set	top+bottom	wa	mkfinal.py
kimonoBlueSeigaiha	和服・青（青海波）	set	top+bottom	wa	mkfinal.py
kimonoManNavyHaori	和服・男（紺＋羽織）	set	top+bottom	wa	mkfinal.py
operaBruennhilde	ブリュンヒルデ（ワルキューレ）	set	top+bottom	opera	opera.py
operaTurandot	トゥーランドット	set	top+bottom	opera	opera.py
operaAida	アイーダ	set	top+bottom	opera	opera.py
operaNorma	ノルマ	set	top+bottom	opera	opera.py
operaLucia	ルチア（狂乱の場）	set	top+bottom	opera	opera.py
operaButterfly	蝶々夫人（白無垢）	set	top+bottom	opera	opera.py
operaMimi	ミミ（ラ・ボエーム）	set	top+bottom	opera	opera.py
operaMusetta	ムゼッタ	set	top+bottom	opera	opera.py
operaCherubino	ケルビーノ（フィガロの結婚）	set	top+bottom	opera	opera.py
operaOlympia	オランピア（ホフマン物語）	set	top+bottom	opera	opera.py
operaGilda	ジルダ（リゴレット）	set	top+bottom	opera	opera.py
operaCarmen2	カルメン	set	top+bottom	opera	opera.py
gownCoutureFifties	1950年代のクチュール（細身＋ストール）	set	top+bottom	stage	opera.py
gownTulleBall	広がるチュールのボールガウン	set	top+bottom	stage	opera.py
gownBeadColumn	ビーズのコラムドレス	set	top+bottom	stage	opera.py
gownVelvetCape	ベルベットとケープ	set	top+bottom+outer	stage	opera.py
hatValkyrie	翼の兜（ワルキューレ）	hat	hat	opera	opera.py
hatTurandotCrown	トゥーランドットの冠	hat	hat	opera	opera.py
hatNormaWreath	ノルマの槲寄生の冠	hat	hat	opera	opera.py
hatMusettaHat	ムゼッタの帽子	hat	hat	opera	opera.py
hatCherubinoHat	ケルビーノの羽根帽	hat	hat	opera	opera.py
hatLuciaHair	ルチアの乱れ髪	hat	hat	opera	opera.py
hatButterflyTsuno	蝶々夫人の角隠し	hat	hat	opera	opera.py
propSpear	槍（ワルキューレ）	hold	hold	opera	opera.py
propFanLace	黒いレースの扇	hold	hold	opera	opera.py
operaFigaro	フィガロ（セビリアの理髪師）	set	top+bottom	opera	otoko.py
operaDonGiovanni	ドン・ジョヴァンニ	set	top+bottom	opera	otoko.py
operaRodolfo	ロドルフォ（ラ・ボエーム）	set	top+bottom	opera	otoko.py
operaEscamillo	エスカミーリョ（闘牛士）	set	top+bottom	opera	otoko.py
operaRigoletto	リゴレット（道化）	set	top+bottom	opera	otoko.py
operaTamino	タミーノ（魔笛）	set	top+bottom	opera	otoko.py
operaWotan	ヴォータン（ワルキューレ）	set	top+bottom	opera	otoko.py
operaCalaf	カラフ（トゥーランドット）	set	top+bottom	opera	otoko.py
hatMontera	闘牛士のモンテラ	hat	hat	opera	otoko.py
hatJester	道化の鈴帽	hat	hat	opera	otoko.py
hatTricornBlack	羽根つき三角帽	hat	hat	opera	otoko.py
hatWotanHat	つば広の旅帽	hat	hat	opera	otoko.py
hatHunterGreen	狩人の帽子	hat	hat	opera	otoko.py
propBaton	指揮棒	hold	hold	stage	otoko.py
propRazorComb	カミソリと櫛	hold	hold	opera	otoko.py
propManuscript	原稿の束	hold	hold	opera	otoko.py
propJomonPot	縄文・土器	hold	hold	era	props2.py
propYayoiRice	弥生・稲穂	hold	hold	era	props2.py
propKofunMagatama	古墳・鏡と勾玉	hold	hold	era	props2.py
propAsukaShaku	飛鳥・笏	hold	hold	era	props2.py
propNaraBiwa	奈良・琵琶	hold	hold	era	props2.py
propHeianOugi	平安・檜扇	hold	hold	era	props2.py
propKamakuraMakimono	鎌倉・巻物	hold	hold	era	props2.py
propMuromachiNohmen	室町・能面	hold	hold	era	props2.py
propMomoyamaChawan	安土桃山・茶碗と茶筅	hold	hold	era	props2.py
propEdoChochin	江戸・提灯	hold	hold	era	props2.py
propMeijiStick	明治・ステッキ	hold	hold	era	props2.py
propTaishoGramophone	大正・蓄音機	hold	hold	era	props2.py
propShowaCamera	昭和・カメラ	hold	hold	era	props2.py
propHeiseiKeitai	平成・ケータイ	hold	hold	era	props2.py
propReiwaSmartphone	令和・スマートフォン	hold	hold	era	props2.py
shoesBoots	革のブーツ	shoes	shoes	modern	shoes.py
shoesGeta	下駄	shoes	shoes	wa	shoes.py
shoesZori	草履	shoes	shoes	wa	shoes.py
shoesSneakers	スニーカー	shoes	shoes	modern	shoes.py
shoesMaryJane	ストラップの靴	shoes	shoes	modern	shoes.py
shoesRainBoots	ながぐつ	shoes	shoes	modern	shoes.py
shoesStagePumps	本番の靴	shoes	shoes	stage	shoes.py
shoesWaraji	わらじ	shoes	shoes	wa	shoes.py
propChopsticks	お箸	hold	hold	modern	tableware.py
propFork	フォーク	hold	hold	modern	tableware.py
wearUSAWestern	アメリカ・ウエスタン	set	top+bottom	world	world.py
wearHawaiiAloha	ハワイ・アロハとムームー	set	top+bottom	world	world.py
wearItalyCarnival	イタリア・カーニバルのマント	set	top+bottom+outer	world	world.py
wearGermanyLederhosen	ドイツ・レーダーホーゼン	set	top+bottom	world	world.py
wearFranceMariniere	フランス・マリニエール	set	top+bottom	world	world.py
wearNetherlandsVolendam	オランダ・フォーレンダム	set	top+bottom	world	world.py
wearSwissAppenzell	スイス・アッペンツェル	set	top+bottom	world	world.py
wearSpainFlamenco	スペイン・フラメンコ	set	top+bottom	world	world.py
wearChinaHanfu	中国・漢服	set	top+bottom	world	world.py
wearKoreaHanbok	韓国・韓服	set	top+bottom	world	world.py
wearRussiaSarafan	ロシア・サラファン	set	top+bottom	world	world.py
wearAustriaCourt	オーストリア・宮廷服	set	top+bottom	world	world.py
wearUKKilt	イギリス・キルト	set	top+bottom	world	world.py
hatUSACowboy	アメリカ・カウボーイハット	hat	hat	world	world.py
hatHawaiiHibiscus	ハワイ・ハイビスカスの花冠	hat	hat	world	world.py
hatItalyTricorno	イタリア・トリコルノ	hat	hat	world	world.py
hatGermanyTirol	ドイツ・チロル帽	hat	hat	world	world.py
hatFranceBeret	フランス・ベレー（黒）	hat	hat	world	world.py
hatNetherlandsCap	オランダ・レースの帽子	hat	hat	world	world.py
hatSwissEdelweiss	スイス・エーデルワイスの帽子	hat	hat	world	world.py
hatSpainMantilla	スペイン・マンティージャ	hat	hat	world	world.py
hatChinaOrnament	中国・花鈿の髪飾り	hat	hat	world	world.py
hatKoreaJokduri	韓国・チョクトゥリ	hat	hat	world	world.py
hatRussiaKokoshnik	ロシア・ココシュニク	hat	hat	world	world.py
hatAustriaWig	オーストリア・白いかつら	hat	hat	world	world.py
hatUKDeerstalker	イギリス・ディアストーカー	hat	hat	world	world.py
propUSAGuitar	アメリカ・ギター	hold	hold	world	world.py
propHawaiiUkulele	ハワイ・ウクレレ	hold	hold	world	world.py
propItalyMask	イタリア・仮面	hold	hold	world	world.py
propGermanyPretzel	ドイツ・プレッツェル	hold	hold	world	world.py
propFranceBaguette	フランス・バゲット	hold	hold	world	world.py
propNetherlandsTulip	オランダ・チューリップと木靴	hold	hold	world	world.py
propSwissCheese	スイス・チーズ	hold	hold	world	world.py
propSpainAbanico	スペイン・アバニコ	hold	hold	world	world.py
propChinaUchiwa	中国・団扇	hold	hold	world	world.py
propKoreaJanggu	韓国・チャング	hold	hold	world	world.py
propRussiaMatryoshka	ロシア・マトリョーシカ	hold	hold	world	world.py
propAustriaTorte	オーストリア・ザッハトルテ	hold	hold	world	world.py
propUKTea	イギリス・紅茶	hold	hold	world	world.py
top_01	シャツ	top	top	modern	parts/manifest.json
top_02	ボタンダウン	top	top	modern	parts/manifest.json
top_03	チェックシャツ	top	top	modern	parts/manifest.json
top_04	ワークシャツ	top	top	modern	parts/manifest.json
top_05	デニムシャツ	top	top	modern	parts/manifest.json
top_06	ボーダー	top	top	modern	parts/manifest.json
top_07	Ｔシャツ	top	top	modern	parts/manifest.json
top_08	ポロ	top	top	modern	parts/manifest.json
top_09	スウェット	top	top	modern	parts/manifest.json
top_10	フーディ	top	top	modern	parts/manifest.json
top_11	セーター（丸首）	top	top	modern	parts/manifest.json
top_12	タートルネック	top	top	modern	parts/manifest.json
top_13	ケーブルニット	top	top	modern	parts/manifest.json
top_14	ベスト	top	top	modern	parts/manifest.json
top_15	つなぎの上	top	top	modern	parts/manifest.json
top_16	ジャージ	top	top	modern	parts/manifest.json
top_17	タンクトップ	top	top	modern	parts/manifest.json
top_18	ラガーシャツ	top	top	modern	parts/manifest.json
top_19	ヘンリーネック	top	top	modern	parts/manifest.json
top_20	モックネック	top	top	modern	parts/manifest.json
top_21	ラグランＴ	top	top	modern	parts/manifest.json
top_22	アロハシャツ	top	top	modern	parts/manifest.json
top_23	甚平の上	top	top	modern	parts/manifest.json
top_24	パジャマ	top	top	modern	parts/manifest.json
top_25	ミリタリーシャツ	top	top	modern	parts/manifest.json
top_26	ビッグシルエットＴ	top	top	modern	parts/manifest.json
top_27	スポーツＴ	top	top	modern	parts/manifest.json
top_28	ブラウス	top	top	modern	parts/manifest.json
top_29	ボウタイブラウス	top	top	modern	parts/manifest.json
top_30	パフスリーブ	top	top	modern	parts/manifest.json
top_31	フリルブラウス	top	top	modern	parts/manifest.json
top_32	リボンニット	top	top	modern	parts/manifest.json
top_33	レーストップス	top	top	modern	parts/manifest.json
top_34	カーディガン	top	top	modern	parts/manifest.json
top_35	ロングカーディガン	top	top	modern	parts/manifest.json
top_36	モヘアニット	top	top	modern	parts/manifest.json
top_37	タートル（リブ）	top	top	modern	parts/manifest.json
top_38	ペプラムトップス	top	top	modern	parts/manifest.json
top_39	キャミソール	top	top	modern	parts/manifest.json
top_40	チュニック	top	top	modern	parts/manifest.json
top_41	ギンガムブラウス	top	top	modern	parts/manifest.json
top_42	花柄ブラウス	top	top	modern	parts/manifest.json
top_43	ドットブラウス	top	top	modern	parts/manifest.json
top_44	レオパードニット	top	top	modern	parts/manifest.json
top_45	ツイードのトップス	top	top	modern	parts/manifest.json
top_46	オフショル	top	top	modern	parts/manifest.json
top_47	ニットベスト	top	top	modern	parts/manifest.json
top_48	セーラー風	top	top	modern	parts/manifest.json
top_49	黒レースブラウス	top	top	modern	parts/manifest.json
top_50	Ｙ２Ｋトップス	top	top	modern	parts/manifest.json
top_51	韓国系ゆるニット	top	top	modern	parts/manifest.json
top_52	もこもこパジャマ	top	top	modern	parts/manifest.json
top_53	ボヘミアンブラウス	top	top	modern	parts/manifest.json
top_54	レザートップス	top	top	modern	parts/manifest.json
bottom_01	デニム	bottom	bottom	modern	parts/manifest.json
bottom_02	ダメージデニム	bottom	bottom	modern	parts/manifest.json
bottom_03	ブラックデニム	bottom	bottom	modern	parts/manifest.json
bottom_04	ワイドスラックス	bottom	bottom	modern	parts/manifest.json
bottom_05	スラックス（紺）	bottom	bottom	modern	parts/manifest.json
bottom_06	テーパードパンツ	bottom	bottom	modern	parts/manifest.json
bottom_07	カーゴ	bottom	bottom	modern	parts/manifest.json
bottom_08	チノ	bottom	bottom	modern	parts/manifest.json
bottom_09	コーデュロイ	bottom	bottom	modern	parts/manifest.json
bottom_10	ジャージパンツ	bottom	bottom	modern	parts/manifest.json
bottom_11	ショーツ	bottom	bottom	modern	parts/manifest.json
bottom_12	ハーフパンツ	bottom	bottom	modern	parts/manifest.json
bottom_13	チェックのパンツ	bottom	bottom	modern	parts/manifest.json
bottom_14	スウェットパンツ	bottom	bottom	modern	parts/manifest.json
bottom_15	パジャマパンツ	bottom	bottom	modern	parts/manifest.json
bottom_16	ミリタリーパンツ	bottom	bottom	modern	parts/manifest.json
bottom_17	甚平の下	bottom	bottom	modern	parts/manifest.json
bottom_18	スキニー	bottom	bottom	modern	parts/manifest.json
bottom_19	ミディ丈スカート	bottom	bottom	modern	parts/manifest.json
bottom_20	プリーツスカート	bottom	bottom	modern	parts/manifest.json
bottom_21	ロングスカート	bottom	bottom	modern	parts/manifest.json
bottom_22	ミニスカート	bottom	bottom	modern	parts/manifest.json
bottom_23	チェックスカート	bottom	bottom	modern	parts/manifest.json
bottom_24	デニムスカート	bottom	bottom	modern	parts/manifest.json
bottom_25	フレアスカート	bottom	bottom	modern	parts/manifest.json
bottom_26	チュールスカート	bottom	bottom	modern	parts/manifest.json
bottom_27	花柄スカート	bottom	bottom	modern	parts/manifest.json
bottom_28	コーデュロイスカート	bottom	bottom	modern	parts/manifest.json
bottom_29	ワイドパンツ	bottom	bottom	modern	parts/manifest.json
bottom_30	レギンス	bottom	bottom	modern	parts/manifest.json
bottom_31	サロペット	bottom	bottom	modern	parts/manifest.json
bottom_32	ガウチョ	bottom	bottom	modern	parts/manifest.json
bottom_33	ペチコート	bottom	bottom	modern	parts/manifest.json
bottom_34	レザースカート	bottom	bottom	modern	parts/manifest.json
bottom_35	もこもこパンツ	bottom	bottom	modern	parts/manifest.json
outer_01	テーラードジャケット	outer	outer	modern	parts/manifest.json
outer_02	スーツの上着	outer	outer	modern	parts/manifest.json
outer_03	ツイードジャケット	outer	outer	modern	parts/manifest.json
outer_04	デニムジャケット	outer	outer	modern	parts/manifest.json
outer_05	レザージャケット	outer	outer	modern	parts/manifest.json
outer_06	ブルゾン	outer	outer	modern	parts/manifest.json
outer_07	トラックジャケット	outer	outer	modern	parts/manifest.json
outer_08	マウンテンパーカ	outer	outer	modern	parts/manifest.json
outer_09	フリース	outer	outer	modern	parts/manifest.json
outer_10	ダウン（パファー）	outer	outer	modern	parts/manifest.json
outer_11	Ｍ-65（ミリタリー）	outer	outer	modern	parts/manifest.json
outer_12	トレンチコート	outer	outer	modern	parts/manifest.json
outer_13	ロングコート	outer	outer	modern	parts/manifest.json
outer_14	ステンカラーコート	outer	outer	modern	parts/manifest.json
outer_15	ＭＡ-1	outer	outer	modern	parts/manifest.json
outer_16	スタジャン	outer	outer	modern	parts/manifest.json
outer_17	半纏	outer	outer	modern	parts/manifest.json
outer_18	ベンチコート	outer	outer	modern	parts/manifest.json
outer_19	ジレ	outer	outer	modern	parts/manifest.json
outer_20	ノーカラーコート	outer	outer	modern	parts/manifest.json
outer_21	チェスターコート	outer	outer	modern	parts/manifest.json
outer_22	ダッフルコート	outer	outer	modern	parts/manifest.json
outer_23	ファーコート	outer	outer	modern	parts/manifest.json
outer_24	ケープ	outer	outer	modern	parts/manifest.json
outer_25	ショートジャケット	outer	outer	modern	parts/manifest.json
outer_26	ツイードジャケット（女）	outer	outer	modern	parts/manifest.json
outer_27	ガウン	outer	outer	modern	parts/manifest.json
outer_28	カーディガン（羽織）	outer	outer	modern	parts/manifest.json
outer_29	レースの羽織り	outer	outer	modern	parts/manifest.json
outer_30	キルティング	outer	outer	modern	parts/manifest.json
outer_31	ポンチョ	outer	outer	modern	parts/manifest.json
outer_32	ムートン	outer	outer	modern	parts/manifest.json
outer_33	ライダース（女）	outer	outer	modern	parts/manifest.json
outer_34	ロングガウン	outer	outer	modern	parts/manifest.json
outer_35	ゴシックコート	outer	outer	modern	parts/manifest.json
neck_01	マフラー	neck	neck	modern	parts/manifest.json
neck_02	チェックのマフラー	neck	neck	modern	parts/manifest.json
neck_03	ストール	neck	neck	modern	parts/manifest.json
neck_04	ネクタイ	neck	neck	modern	parts/manifest.json
neck_05	蝶ネクタイ	neck	neck	modern	parts/manifest.json
neck_06	リボン	neck	neck	modern	parts/manifest.json
neck_07	ネックレス	neck	neck	modern	parts/manifest.json
neck_08	パールのくび飾り	neck	neck	modern	parts/manifest.json
neck_09	スカーフ	neck	neck	modern	parts/manifest.json
neck_10	チョーカー	neck	neck	modern	parts/manifest.json
neck_11	フード（下ろした）	neck	neck	modern	parts/manifest.json
eyes_01	メガネ（丸）	eyes	eyes	modern	parts/manifest.json
eyes_02	メガネ（四角）	eyes	eyes	modern	parts/manifest.json
eyes_03	金ぶちメガネ	eyes	eyes	modern	parts/manifest.json
eyes_04	サングラス	eyes	eyes	modern	parts/manifest.json
eyes_05	伊達メガネ	eyes	eyes	modern	parts/manifest.json
eyes_06	ゴーグル	eyes	eyes	modern	parts/manifest.json
shoes_01	スニーカー	shoes	shoes	modern	parts/manifest.json
shoes_02	ハイカット	shoes	shoes	modern	parts/manifest.json
shoes_03	ローファー	shoes	shoes	modern	parts/manifest.json
shoes_04	革靴	shoes	shoes	modern	parts/manifest.json
shoes_05	ブーツ	shoes	shoes	modern	parts/manifest.json
shoes_06	ロングブーツ	shoes	shoes	modern	parts/manifest.json
shoes_07	サンダル	shoes	shoes	modern	parts/manifest.json
shoes_08	上履き	shoes	shoes	modern	parts/manifest.json
shoes_09	スリッパ	shoes	shoes	modern	parts/manifest.json
shoes_10	長ぐつ	shoes	shoes	modern	parts/manifest.json
shoes_11	パンプス	shoes	shoes	modern	parts/manifest.json
shoes_12	ミュール	shoes	shoes	modern	parts/manifest.json
hats_01	キャップ	hat	hat	modern	parts/manifest.json
hats_02	ニット帽	hat	hat	modern	parts/manifest.json
hats_03	ベレー	hat	hat	modern	parts/manifest.json
hats_04	中折れハット	hat	hat	modern	parts/manifest.json
hats_05	バケット	hat	hat	modern	parts/manifest.json
hats_06	麦わら帽子	hat	hat	modern	parts/manifest.json
hats_07	イヤーマフ	hat	hat	modern	parts/manifest.json
hats_08	カチューシャ	hat	hat	modern	parts/manifest.json
hats_09	フード	hat	hat	modern	parts/manifest.json
hats_10	王冠	hat	hat	modern	parts/manifest.json
hats_11	ヘアバンド	hat	hat	modern	parts/manifest.json
hats_12	サンタ帽	hat	hat	modern	parts/manifest.json
hats_13	コック帽	hat	hat	modern	parts/manifest.json
